R [Ohm], Ud [V], Ir [mA]
2000, 8.88, 4.49
1500, 8.54, 5.75
1250, 8.11, 6.56
1000, 7.8, 7.9
950, 7.66, 8.15
900, 7.53, 8.46
850, 7.42, 8.84
800, 7.29, 9.21
750, 7.13, 9.62
700, 6.96, 10.04
650, 6.77, 10.52
600, 6.6, 11.1
580, 6.44, 11.23
560, 6.34, 11.44
550, 6.34, 11.66
540, 6.25, 11.67
520, 6.2, 12.04
500, 6.11, 12.33
500, 6.09, 12.32
480, 5.95, 12.54
460, 5.84, 12.78
450, 5.76, 12.91
440, 5.7, 13.08
420, 5.49, 13.21
400, 5.352, 13.49
350, 4.884, 14.06
300, 4.313, 14.45
250, 3.645, 14.59
200, 2.948, 14.82
150, 2.215, 14.69
100, 1.508, 14.92
50, 0.781, 15.05
25, 0.405, 15.02
